Title,City,District,Building_Area,Land_Area,Price,Area_Total,Category
Dijual Rumah Baru Siap huni Sunter Jakarta Utara,Jakarta,Sunter,150,80,1500000000,230,Medium
Cluster Murah di Matraman Jakarta Timur,Jakarta,Utan Kayu,45,27,330000000,72,Small
jaul rumah murah di jakarta timur Rumah baru jalan rawakuning,Jakarta,Pulo Gebang,20,24,220000000,44,Small
"Dijual Murah Rumah / Ruko / Rukan / Gudang
Di daerah Glodok / Pinangsia / Kota / Mang...",Jakarta,Mangga Large,564,272,12500000000,836,Large
Rumah Cluster SHM  Cicilan Ringan DP SUKA SUKA DEKAT TOL  Cibubur,Jakarta,Cibubur,68,65,790000000,133,Small
Dijual Rumah PIK 2 Ukuran 10x15,Jakarta,Pantai Indah Kapuk,200,150,5100000000,350,Large
Di Jual Cepat Murahrumah Baru Hoek 2 Lantai Di Royal Residence Jak Tim,Jakarta,Cakung,114,250,2930000000,364,Medium
Dijual rumah 2lantai (siap huni),Jakarta,Joglo,75,50,350000000,125,Small
Dijual rumah siap huni dipesangrahan permai jakarta selatan,Jakarta,Pesanggrahan,110,140,2100000000,250,Medium
Rumah Siaphuni  Cukup Dp 10 Jt Free Semua Biaya2,Jakarta,Cibubur,56,140,700000000,196,Small
"DIJUAL CEPAT RUMAH DI KAWASAN ELIT (BELAKANG SCBD), COCOK U/ INVESTASI",Jakarta,Kebayoran Baru,204,182,14000000000,386,Large
Dijual Rumah Baru 2lt Termurah di Jakarta Barat,Jakarta,Cengkareng Timur,73,77,1000000000,150,Small
Rumah 2 lantai dekat tb simatupang,Jakarta,Fatmawati,75,105,1000000000,180,Small
"Dijual Rumah Modern Di Haji Saidi, Cipete. Lokasi Dekat Stasiun Mrt",Jakarta,Cipete Selatan,600,400,15500000000,1000,Large
"Dijual Rumah Modern Di Haji Saidi, Cipete. Lokasi Dekat Stasiun Mrt",Jakarta,Cipete Selatan,600,400,15500000000,1000,Large
Rumah Dijual Cepat Cantik Terawat Di Cinere Depok Dekat Lebak Bulus Jakarta,Jakarta,Lebak Bulus,240,280,4100000000,520,Large
"Rumah Lama Termurah Di Bawah Njop di Jati Padang, Pasar Minggu",Jakarta,Jati Padang,140,820,6200000000,960,Medium
