Title,City,District,Building_Area,Land_Area,Price,Area_Total,Category
Alamanda  Tallasa  City Perintis Makassar,Makassar,Tamalanrea,38,96,699000000,134,Small
Green Crystal  Summarecon mutiara Makassar,Makassar,Biringkanaya,73,84,1190000000,157,Small
rumah murah 2 lanati lokasi daya makassar,Makassar,Daya,80,78,735000000,158,Small
rumah ready unit depan Polda sudiang makassar,Makassar,Sudiang Raya,42,72,598000000,114,Small
RUMAH 2 LANTAI SUDIANG,Makassar,Biringkanaya,69,105,699000000,174,Small
RUMAH DP MULAI 25 JUT HERTASNING BARU,Makassar,Bangkala,40,78,500000000,118,Small
RUMAH SIAP HUNI,Makassar,Tamangapa,60,90,615000000,150,Small
RUMAH SIAP HUNI DEKAT KE HERTASNING,Makassar,Manggala,45,90,599900000,135,Small
RUMAH 2 LANTAI DEKAT UNHAS,Makassar,Tamalanrea,75,72,715000000,147,Small
Rumah siap Huni Toddopuli,Makassar,Panakkukang,100,98,1350000000,198,Medium
Alamanda Tallasa City Makassar,Makassar,Tamalanrea,65,120,1032000000,185,Small
Summarecon Mutiara Makassar,Makassar,Biringkanaya,64,65,1076000000,129,Small
Summarecon Mutiara  Green Crystal  Makassar,Makassar,Biringkanaya,110,112,1406000000,222,Medium
PERUMAHAN BUKIT BARUGA  TYPE PADMA  GRATIS KANOPI  3 AC,Makassar,Antang,120,120,1700000000,240,Medium
Summarecon mutiara kota makassar,Makassar,Biringkanaya,74,84,1200000000,158,Small
RUMAH DEPAN POLDA SUDIANG,Makassar,Biringkanaya,42,72,598000000,114,Small
RUMAH SIAP HUNI,Makassar,Manggala,36,84,459900000,120,Small
Rumah panaikang makassar,Makassar,Panaikang,45,78,427000000,123,Small
RUMAH READY STOCK,Makassar,Manggala,36,84,460000000,120,Small
Rumah Murah Barombong  Ville Park,Makassar,Tamalate,45,1,458000000,46,Small
Rumah mewah Hertasning makassar,Makassar,Kassi - Kassi,118,78,900000000,196,Medium
Rumah keren di tallasa city kota makassar,Makassar,Kapasa,49,96,781000000,145,Small
Rumah 2 lantai makassar,Makassar,Parang Tambung,60,91,1100000000,151,Small
Dijual Rumah Summarecon Mutiara Makassar,Makassar,,95,87,1100000000,182,Medium
Rumah baru siap huni Di antang makassar,Makassar,,45,78,455000000,123,Small
Rumah mewah Toddopuli makassar,Makassar,Panakkukang,97,100,956000000,197,Medium
Rumah 2 lantai Citraland tallasa city makassar,Makassar,Tamalanrea,80,105,1250000000,185,Small
RUMAH MEWAH SIAP HUNI DI KOTA MAKASSAR DEKAT METRO TANJUNG BUNGA,Makassar,Tamalate,140,105,1745000000,245,Medium
Rumah murah makassar daya,Makassar,Kapasa,80,78,695000000,158,Small
Rumah 2 lantai kota makassar,Makassar,Borong,70,84,899000000,154,Small
Rumah di daya makassar,Makassar,Biringkanaya,49,72,420000000,121,Small
Rumah DI depan SMA 10 MAKASSAR,Makassar,,45,78,490000000,123,Small
Malino Wonderland empatnya satusatunya Kawasan Islami TERPADU dan TerLarge di,Makassar,,32,88,350000000,120,Small
PERUMAHAN BUKIT BARUGA  SUPER PROMO FREE SMART HOME KANOPI AC ,Makassar,Antang,120,120,1700000000,240,Medium
Rumah mewah cendrawasi kota makassar,Makassar,Mariso,140,116,1827800000,256,Medium
Lokasi Toddopuli,Makassar,Panakkukang,100,98,1350000000,198,Medium
Rumah Dp 21 jutaan,Makassar,Tamangapa,40,72,432000000,112,Small
Rumah murah 2 lantai panaikang,Makassar,Panaikang,70,84,685000000,154,Small
RUMAH DALAM CLUSTER,Makassar,Tamalate,45,105,850000000,150,Small
RUMAH LAYAK HUNI,Makassar,Rappocini,234,135,2200000000,369,Large
Rumah 2 lantai panaikang,Makassar,Panaikang,70,84,645000000,154,Small
RUMAH 2 LANTAI DAYA MAKASSAR,Makassar,Biringkanaya,80,78,735000000,158,Small
Rumah cantik panaikang makassar,Makassar,Panaikang,45,78,465000000,123,Small
RUMAH SIAP HUNI TODDOPULI,Makassar,Panakkukang,100,98,1350000000,198,Medium
Tallasa city makassar,Makassar,Biringkanaya,38,96,699000000,134,Small
Alamanda Tallasa City Makassar,Makassar,Tamalanrea,38,96,699000000,134,Small
RUMAH TENGAH KOTA,Makassar,Losari,123,126,3565000000,249,Medium
RUMAH COCOK UTK RHM KOST,Makassar,Tidung,300,300,2500000000,600,Large
RUMAH LAYAK HUNI DLM KOTA,Makassar,Tidung,400,369,3500000000,769,Large
RUMAH DALAM CLUSTER,Makassar,Tanjung Merdeka,70,126,1000000000,196,Small
RUMAH DALAM KOTA,Makassar,Lariang Bangi,96,128,1100000000,224,Medium
RUMAH DALAM KOTA SIAP HUNI,Makassar,Jongaya,70,126,978000000,196,Small
Hanya 600jutaan saja Rumah Mewah Harga Murah Di Lokasi Strategis,Makassar,Daya,80,78,600000000,158,Small
Lokasi dekat Unhas,Makassar,Tamalanrea,75,72,715000000,147,Small
Tallasa city makassar,Makassar,Biringkanaya,38,96,699000000,134,Small
Rumah taman pertama di makassar,Makassar,Tamangapa,65,80,625000000,145,Small
RUMAH DLM KOTA,Makassar,Lariang Bangi,360,324,3800000000,684,Large
Rumah mewah toddopuli,Makassar,Panakkukang,97,100,956000000,197,Medium
Rumah dekat hertasning makassar,Makassar,Rappocini,110,60,900000000,170,Medium
Rumah Ready tamangapa makassar,Makassar,Tamangapa,40,72,432000000,112,Small
RUMAH DALAM KOTA MAKASSAR,Makassar,Maricaya Baru,70,150,1000000000,220,Small
RUMAH SIAP HUNI DI TENGAH KOTA,Makassar,Maloku,430,143,5500000000,573,Large
RUMAH DLM KOTA MAKASSAR,Makassar,Mangasa,230,630,5500000000,860,Large
GOLDEN AVANUE  CITRALAND CITY LOSARI  CPI,Makassar,Losari,123,126,3565000000,249,Medium
Perumahan Bebas Banjir,Makassar,,38,90,530000000,128,Small
APARTEMEN 31 suite PUSAT KOTA MAKASSAR,Makassar,,60,90,2100000000,150,Small
Rumah Lokasi Barombong MAKASSAR bebas Banjir,Makassar,Barombong,45,90,345000000,135,Small
Jual cepat rumah di barombong siap huni,Makassar,Barombong,108,135,300000000,243,Medium
PMKS Dijual Rumah Tipe 6060 di Roma Corner View Makassar,Makassar,Panakkukang,60,60,1000000000,120,Small
RUMAH MEWAH DI CITRALAND TALLASA CITY DAERAH TAMALANREA DEKAT TOL DAN BANDARA,Makassar,Tamalanrea,182,180,2677000000,362,Large
Rumah murah sudiang,Makassar,Sudiang Raya,47,78,435000000,125,Small
260 MP Dijual Rumah di Jalan Lanto Dg Pasewang Makassar,Makassar,,330,420,6000000000,750,Large
Dijual Cepat Rumah  2 Lantai di Perumahan 9 Residence,Makassar,Rappocini,105,105,1900000000,210,Medium
Dijual rumah dalam kompleks jalan Monumen Emmy Saelan jalan Skarda,Makassar,Rappocini,70,131,650000000,201,Small
perumahan elegan,Makassar,Balla Parang,31,60,541000000,91,Small
Dijual rumah dalam perumahan di jalan Aroepala Hertasning,Makassar,Rappocini,240,120,2000000000,360,Large
RUMAH DIJUAL HARGA MURAH SIAP HUNI DI TELLO,Makassar,Tello Baru,50,84,460000000,134,Small
Dijual Rumah 2 Lantai Area Tamalanrea,Makassar,Biringkanaya,234,162,3000000000,396,Large
Rumah makasar  Yekti,Makassar,,68,180,3000000000,248,Small
Rumah 2 Lantai di Pusat Kota Makassar,Makassar,,60,91,925000000,151,Small
Rumah pusat kota Makassar,Makassar,Mamajang,80,69,775000000,149,Small
Rumah 2 lantai Hertasning,Makassar,,100,91,850000000,191,Medium
RUMAH CANTIK DEPAN DANAU TANJUNG BUNGA MAKASSAR,Makassar,Rappocini,91,153,2600000000,244,Medium
PMKS Dijual Rumah Tipe 8067 di Veteran Selatan Makassar,Makassar,Maricaya,67,80,875000000,147,Small
296 MP Dijual Rumah di Jalan Anuang Makassar,Makassar,,124,62,950000000,186,Medium
Rumah Mewah Berkelas Harga Murah Kota Makassar,Makassar,Manggala,100,82,825000000,182,Medium
RUMAH DIJUAL MAKASSAR DEKAT MALL PANAKKUKANG  RS HERMINA 2 LANTAI,Makassar,Borong,72,78,385000000,150,Small
Di Kota Makassar Hanya 360jt,Makassar,,36,72,360000000,108,Small
RUMAH SIAP HUNI DAYA MAKASSAR BEBAS BANJIR,Makassar,,49,72,420000000,121,Small
PMKS Dijual Rumah Tipe 7572 di Nusa Jaya Residence Makassar,Makassar,Panakkukang,75,72,789180000,147,Small
256 MP Dijual Rumah di Jalan Andi Mappanyukki Makassar,Makassar,Mariso,590,480,13500000000,1070,Large
Rumah siap Huni Lokasi poros jalan barombong Makassar,Makassar,Barombong,51,90,387000000,141,Small
Dijual rumah aman dan nyaman di jalan malengkeri jl daeng tata makassar,Makassar,Rappocini,98,98,2200000000,196,Medium
Dijual rumah dalam perumahan di jalan goa ria Biringkanaya sudiang Makassar,Makassar,Biringkanaya,100,175,750000000,275,Medium
Rumah ready hertasning,Makassar,,40,78,500000000,118,Small
214 MP Dijual Rumah di Jalan Karunrung Raya 2 Makassar,Makassar,Rappocini,180,150,850000000,330,Large
Jual Rumah Tosca Tree  Citraland Celebes Makassar,Makassar,Rappocini,600,400,8000000000,1000,Large
PMKS Dijual Rumah Tipe 2260 di Mutiara Gading 3 Makassar,Makassar,Daya,22,60,429400000,82,Small
35 Dijual Ruko di Jalan Abdullah Dg Sirua Makassar,Makassar,Panakkukang,580,250,4000000000,830,Large
Rumah siap huni Makassar,Makassar,Tanjung Merdeka,148,144,2500000000,292,Medium
211 MP Dijual rumah di Perumahan IDI Pettarani Makassar,Makassar,Masale,255,299,4800000000,554,Large
Jual Rumah Citraland Rallasa City Makassar Type Riviera,Makassar,Tamalanrea,82,105,1238330000,187,Small
PMKS Dijual Rumah Tipe 69105 di Griya Permata Lestari,Makassar,Biringkanaya,69,105,599000000,174,Small
Rumah minimalis btp bebas banjir ready unit,Makassar,Tamalanrea,50,84,500000000,134,Small
PMKS Dijual Rumah Tipe Trivial di Premier Residence Makassar,Makassar,Maccini Sombala,146,126,2794248574,272,Medium
PMKS Dijual Rumah Tipe 4784 di Gemilang Harvest Residence,Makassar,Biringkanaya,47,84,421000000,131,Small
Rumah murah sudiang,Makassar,Sudiang,40,72,395000000,112,Small
RUMAH PROMO CASH DAERAH PERINTIS 3 DEKAT MALL MTOS TAMALANREA,Makassar,Tamalanrea,36,60,399000000,96,Small
234 MP Dijual Rumah di Perumahan Panakkukang Makassar,Makassar,Panakkukang,180,300,3000000000,480,Large
279 MP Dijual Rumah di Komp Lili Panakkukang Makassar,Makassar,Panakkukang,70,105,1300000000,175,Small
PMKS Dijual Rumah Tipe 6090 di Brista Gemilang Makassar,Makassar,Tamalanrea,60,90,548235000,150,Small
Rumah modern di panaikang,Makassar,,45,78,427000000,123,Small
PMKS Dijual Rumah Tipe 47105 di Megah Country Makassar,Makassar,Tamalanrea,47,105,550000000,152,Small
ARUMAH MURAH,Makassar,Mappala,45,72,490000000,117,Small
Rumah Cantik mewah 3 Lantai lokasi Makassar,Makassar,Manggala,118,78,1016000000,196,Medium
216 MP Dijual Rumah di Castell Premium Type 6090 Makassar,Makassar,Pampang,60,90,700000000,150,Small
241 MP Dijual Rumah di Glora Pajjaiang Sudiang Makassar,Makassar,Biringkanaya,60,84,465000000,144,Small
Rumah Baru Modern Estate Makassar,Makassar,Panakkukang,55,108,750000000,163,Small
RUMAH MEWAH 2 LANTAI DI TODOPULI KOTA MAKASSAR,Makassar,Tamangapa,70,67,650000000,137,Small
Jual Rumah Green Garden Tanjung Bunga Makassar,Makassar,Tanjung Merdeka,55,96,500000000,151,Small
27 MP Dijual Rumah di Balmond Residence Makassar,Makassar,Rappocini,220,176,2500000000,396,Large
Hunian Ekslusif di Pengayoman Makassar,Makassar,Panakkukang,349,162,5950000000,511,Large
Rumah modern di pusat kota Makassar,Makassar,Maricaya,165,246,4831000000,411,Large
25 Dijual Rumah di Kompleks Anggrek Jalan Kuning Makassar,Makassar,Rappocini,250,150,950000000,400,Large
RUMAH MEWAH 3KT DI SUDIANG MAKASSAR,Makassar,Biringkanaya,60,90,460000000,150,Small
Rumah siap huni harga miring,Makassar,Barombong,36,70,300000000,106,Small
Rumah minimalis,Makassar,,120,120,400000000,240,Medium
Rumah makassar best seller di makassar,Makassar,Tamalanrea,38,96,692000000,134,Small
rumah comersil lokasi strategis,Makassar,Tamangapa,54,90,685000000,144,Small
rumah nyaman dan Asri,Makassar,Paccerakkang,50,78,515000000,128,Small
Rumah cantik lokasi sangat strategis di dalam kota Makassar dekat dari mall Pana,Makassar,Rappocini,165,150,1650000000,315,Large
Perumahan Syariah dekat mall Panakukang di kota Makassar,Makassar,Borong,54,84,715000000,138,Small
Vetran Selatan Vetran Galaxy Big Promo Januari Diskon hingga 110 jtaan,Makassar,Banta Bantaeng,80,70,765000000,150,Small
Miliki rumah idaman desain elegan harga terjangkau,Makassar,Tamalanrea,45,78,458000000,123,Small
270MP Dijual Rumah di Jalan Perintis Kemerdekaan Makassar,Makassar,Tamalanrea,300,386,550000000,686,Large
DIJUAL RUMAH DIKOMPLEKS MAWAR PANAKUKANG MAKASSAR,Makassar,Masale,300,184,1700000000,484,Large
Rumah Dp 19 juta tamangapa,Makassar,Tamangapa,40,72,432000000,112,Small
26 MP Dijual Rumah di Palada Residence Makassar,Makassar,Paccerakkang,60,90,380000000,150,Small
258 MP Dijual Rumah di Jalan Monginsidi Lama Makassar,Makassar,,550,330,15000000000,880,Large
RUMAH SYARIAH MAKASSAR,Makassar,Panakkukang,70,67,575000000,137,Small
RUMAH SIAP HUNI DI SUDIANG PROMO CASH 418JTT,Makassar,Sudiang,54,91,418000000,145,Small
Rumah murah grand Sulawesi antang,Makassar,Antang,40,72,350000000,112,Small
Rumah siap huni lokasi strategis Barombong Makassar,Makassar,Barombong,43,78,387000000,121,Small
HALMIN RESIDENCE Hertasning baru,Makassar,Rappocini,70,84,1180000000,154,Small
PMKS Dijual Rumah Tipe Dario di Mansion Tanjung Bunga,Makassar,Tamalate,150,126,2958637678,276,Medium
Rumah Siap Huni Daya,Makassar,Biringkanaya,49,72,420000000,121,Small
Di Jual Rumah Murah Di perintis kemerdekaan dekat kampus Unhas,Makassar,Tamalanrea,36,60,388000000,96,Small
PMKS Dijual Rumah Tipe 4072 di Cluster Pelangi Makassar,Makassar,Tamalanrea,40,72,456000000,112,Small
PMKS Dijual Rumah Tipe 3872 di New Rosemary Green River View,Makassar,Tamalate,38,72,461785000,110,Small
Rumah cantik cicilan murah,Makassar,,30,55,355000000,85,Small
Rumah siap huni di minasa upa,Makassar,Rappocini,105,105,675000000,210,Medium
2109 MP Dijual Rumah di Jalan Bougenville Makassar,Makassar,Panakkukang,330,300,4500000000,630,Large
Rumah 3 Kamar   Dekat Kampus Di Jalan Alauddin Makassar,Makassar,Mangasa,40,98,1000000000,138,Small
249 MP Dijual Rumah di Jalan Raya Pendidikan Makassar,Makassar,Rappocini,110,170,2500000000,280,Medium
257 MP Dijual Rumah di Jalan Andi Mappanyukki Makassar,Makassar,Mariso,660,450,14500000000,1110,Large
PMKS Dijual Rumah Tipe 3160 di Cluster Utopia Tallasa City,Makassar,Tamalanrea,31,60,535000000,91,Small
RUMAH 2 LANTAI TENGAH KOTA 4 KAMAR LOKASI VETERAN SELATAN MAKASSAR,Makassar,Mamajang Dalam,80,77,875000000,157,Small
PMKS Dijual Rumah Tipe 4072 di Laqava Land  Makassar,Makassar,Biringkanaya,40,72,423000000,112,Small
PMKS Dijual Rumah Tipe 5078 di Brista Gemilang Makassar,Makassar,Tamalanrea,50,78,458676000,128,Small
Perumahab elit mewah dekat pantai losari dan rs siloam,Makassar,,294,240,3400000000,534,Large
DP Dibayarkan Developer Hanya 400jtaan,Makassar,Daya,30,60,482300000,90,Small
Perumahan AlFath Residence,Makassar,Bonto Biraeng,30,50,258000000,80,Small
PERUMAHAN MEWAH DI HERTASNING BARU,Makassar,Rappocini,98,135,2300000000,233,Medium
rumah sisa 1unit,Makassar,Mangasa,45,78,520000000,123,Small
268 MP Dijual Rumah di Jalan Emmy Saelan III C Makassar,Makassar,,180,300,2800000000,480,Large
272 MP Dijual Rumah di Golden Park Panakukkang Makassar,Makassar,Panakkukang,160,120,1650000000,280,Large
Griya Harapan Pampang Makassar,Makassar,Pampang,50,78,595000000,128,Small
THE MUTIARA PETTARANI,Makassar,Maccini,221,91,3750000000,312,Large
JUAL RUMAH SIAP HUNI DEPAN SMA 10 MAKASSAR,Makassar,Tamangapa,45,78,455000000,123,Small
Rumah 10 menit Bandara Internasional Sultan Hasanuddin Akses  Tol Parangloe,Makassar,Tamalanrea,38,72,507300000,110,Small
TOWN HOUSE PREMIUM DI PUSAT KOTA MAKASSAR,Makassar,Manggala,125,98,123000000,223,Medium
PGW Dijual Rumah Tipe 3672 di Perumahan Tanjung Permai Gowa,Makassar,Barombong,36,72,156500000,108,Small
Rumah 2 lantai dekat ke bandara makassar,Makassar,Sudiang,100,112,800000000,212,Medium
RUMAH READY STOK DI TALLASA CITY DEKAT AKSES TOL DAN PERINTIS KEMERDEKAAN,Makassar,Tamalanrea,49,96,772000000,145,Small
Dijual Rumah Cantik 1 12 Lantai Daerah Toddopuli XV Makassar,Makassar,Manggala,120,90,750000000,210,Medium
Rumah  citrland 700 jutaaan,Makassar,Tamalanrea,36,72,717000000,108,Small
Di Jual Rumah Mewah Strategis Poros Asrama Haji  Makassar,Makassar,Sudiang Raya,57,78,450000000,135,Small
Dijual rumah dalam perumahan dijalan borong raya jalan batua raya,Makassar,Batua,72,90,550000000,162,Small
Rumah Makassar Best Seller,Makassar,Biringkanaya,36,72,475700000,108,Small
Rumah makassar mewah di kota mandiri,Makassar,Tamalanrea,267,300,5333000000,567,Large
THE TOPAZ RESIDENCE  SUMMARECON MUTIARA MAKASSAR,Makassar,Biringkanaya,55,64,750000000,119,Small
Wilayah Sangat Strategis Di Poros Jalan Raya Sangat Dekat Dengan Pasar Tradisional T,Makassar,Paropo,221,221,2500000000,442,Large
RUMAH DIJUAL DITANJUNG BUNGA PERUMAHAN BLOSSOM,Makassar,Tamalate,70,126,1000000000,196,Small
214 Dijual Rumah di Jalan Dg Tata 1 Makassar,Makassar,Tamalate,110,100,700000000,210,Medium
RUMAH 2 LANTAI DEKAT JL POROS  MAKASSAR SUDIANG DEKAT GOR,Makassar,,36,112,800000000,148,Small
Golden Galaxi Inn Panakukkang Paling Strategis Di Makassar,Makassar,Manggala,100,96,705000000,196,Medium
PMKS Dijual Rumah Tipe 6072 di Nusa Jaya Residence Makassar,Makassar,Panakkukang,60,72,589920000,132,Small
217 Dijual Rumah Kosan di Kompleks IDI Panakkukang Makassar,Makassar,Panakkukang,800,565,3800000000,1365,Large
255 MP Dijual Rumah di Perumahan Permata Hijau permai Makassar,Makassar,Rappocini,150,250,1600000000,400,Medium
Rumah baru Hoo Citraland,Surabaya,Citraland,170,154,2400000000,324,Large
Rumah Forest Mansion Full Furnist,Surabaya,Lakarsantri,300,150,5000000000,450,Large
RUMAH PAKUWON INDAH EUROPEAN CLASSIC SANGAT MEWAH dekat mall pusat bisnis dan,Surabaya,Pakuwon,2400,1720,75000000000,4120,Large
Perumahan SHM 2 Lantai Ready Unit 370 Jutaan Dekat Kampus UPN,Surabaya,Gunung Anyar Tambak,43,28,379500000,71,Small
Rumah gunung anyar dekat bandara dan Galaxy Mall,Surabaya,Gunung Anyar,70,58,895000000,128,Small
Dijual Rumah Oakwood Citraland Surabaya,Surabaya,Citraland,143,120,2850000000,263,Medium
Perumahan Murah 2 Lantai 260 Jutaan Surabaya Timur,Surabaya,Gunung Anyar Tambak,28,21,269000000,49,Small
Dijual Rumah Mewah Rungkut Asri stok Terbatas,Surabaya,Rungkut,68,50,1195000000,118,Small
Dijual Rumah NorthwestLake Citraland,Surabaya,Citraland,69,72,1000000000,141,Small
Rumah Mewah Murah 0 Jalan Raya Wiyung 192  m,Surabaya,Wiyung,102,192,3272000000,294,Medium
Termurah American Minimalis 2 Lt Super Terawat Graha Family Favorit,Surabaya,Wiyung,550,345,14000000000,895,Large
Rungkut Asri 2 Lantai Harga Nego Sampai Deal,Surabaya,Rungkut,300,325,3750000000,625,Large
RUMAH BUKIT GOLF CITRALAND KONSEP VILLA BALI dekat JLLB clubhouse komersial,Surabaya,Citraland,780,1000,26750000000,1780,Large
RUMAH CITRALAND BARU GRES MEWAH GOLF VIEW ada SWIMMING POOL dekat clubhouseJLLB,Surabaya,Citraland,1500,944,42000000000,2444,Large
Rumah Full Furnished Royal Residence Modern Minimalis,Surabaya,Wiyung,450,375,6500000000,825,Large
RUMAH DARMO HARAPAN HOOK dekat Hokky swimming fitness pusat bisnis Surabaya,Surabaya,Sukomanunggal,600,449,7000000000,1049,Large
RUMAH DARMO BARU TIMUR dekat lapangan tennis tol pusat bisnis dan komersial,Surabaya,Sukomanunggal,300,240,3800000000,540,Large
RUMAH DARMO HARAPAN BARU RENOVASI dekat Superindo Hokky swimming fitness cente,Surabaya,Sukomanunggal,230,800,9500000000,1030,Large
RUMAH ISEN INTERNATIONAL LIVING by Intiland SWIMMING POOL dekat Hokky clubhouse,Surabaya,Sukomanunggal,350,375,11500000000,725,Large
RUMAH GRAHA FAMILY BARU GRES dekat clubhouse Loop tol pusat bisnis,Surabaya,Graha,550,345,15000000000,895,Large
RUMAH BUKIT GOLF INTERNASIONAL CITRALAND BARU GRES MEWAH dekat JLLB clubhouse,Surabaya,Citraland,500,300,9500000000,800,Large
RUMAH VILLA BUKIT REGENCY 3 PAKUWON INDAH BARU GRES dekat mall pusat bisnis,Surabaya,Pakuwon,500,300,9350000000,800,Large
Rumah mewah perumahan Rungkut DP minim,Surabaya,Medokan Ayu,75,90,735000000,165,Small
RUMAH MEWAH SIAP HUNI DI MOSSEL BAY  GRAND ISLAND PAKUWON CITY HANYA 48 M,Surabaya,Mulyorejo,203,160,4800000000,363,Large
RUMAH DARMO HARAPAN dekat Hokky swimming fitness center pusat bisnis Surabaya,Surabaya,Sukomanunggal,400,664,10000000000,1064,Large
Rumah Baru,Surabaya,Gunung Anyar Tambak,150,105,850000000,255,Medium
RUMAH PAKUWON INDAH MEWAH BARU RENOVASI TOTAL ada SWIMMING POOL dekat mall pusa,Surabaya,Pakuwon,650,450,18000000000,1100,Large
RUMAH CITRALAND BARU GRES MEWAH ada SWIMMING POOL dekat danau Merlion Gwalk,Surabaya,Citraland,1200,670,22000000000,1870,Large
Rumah Ready Stok Dp 0 ,Surabaya,,72,72,397000000,144,Small
Dijual Rumah Royal Residence Cluster Greenwich,Surabaya,Sumur Welut,200,160,4200000000,360,Large
Graha Famili surabaya barat mewah minimalis dkt unesa pakuwon wiyung,Surabaya,Graha,1300,975,40000000000,2275,Large
KARANG ASEM RUMAH BARU 2 LANTApI 11an,Surabaya,Kenjeran,135,90,1100000000,225,Medium
Rumah cantik 2 lantai Medokan Rungkut,Surabaya,Rungkut,60,42,550000000,102,Small
Rumah Griya Ani nol jalan Raya  Medokan Rungkut buat usaha,Surabaya,Rungkut,70,61,800000000,131,Small
Rumah murah bisa KPR rungkut,Surabaya,Medokan Ayu,55,48,390000000,103,Small
Rumah mewah 2 lantai Rungkut DP minim pol,Surabaya,Rungkut,75,86,770000000,161,Small
Di Jamin Termurah Rumah 25 Lantai Siap Huni Di Gunung Anyar Surabaya,Surabaya,Gunung Anyar Tambak,56,32,499000000,88,Small
Rumah mewah 2 lantai  Griya Ani,Surabaya,Medokan Ayu,70,45,660000000,115,Small
Rumah Griya Ani Cluster 10m jalan raya,Surabaya,Medokan Ayu,40,45,530000000,85,Small
Rumah cantik  perumahan BME Keputih,Surabaya,Sukolilo,60,42,750000000,102,Small
Rumah mewah Wonorejo selatan,Surabaya,Rungkut,45,100,725000000,145,Small
Rumah ciamik Griya Ani Medokan Deket jalan raya DP minim,Surabaya,Rungkut,60,75,710000000,135,Small
MURAH Rumah 2 Lantai Siap Huni Bronggalan Dekat MERR,Surabaya,Gubeng,99,105,850000000,204,Medium
rumah mewah di tengah kota sidoarjo,Surabaya,Warugunung,88,82,921000000,170,Small
Rumah baru dekat toll waru dan terminal bungurasih,Surabaya,Ketintang,36,65,350000000,101,Small
Jual Murah Rumah Klampis Semolo Barat Cocok Untuk Investor Dekat Galaxy Mall,Surabaya,Klampis Ngasem,250,175,1650000000,425,Large
Rumah Perumahan Murah Angsuran 900rb an,Surabaya,Sukolilo,30,60,150500000,90,Small
Rumah Ready  Rungkut Surabaya,Surabaya,Rungkut,96,75,1295000000,171,Medium
Rumah Ready Siap Huni Gayungsari Surabaya,Surabaya,Gayungan,200,136,2250000000,336,Large
Dijual rumah luas di Medokan Ayu Surabaya,Surabaya,Medokan Ayu,40,100,575000000,140,Small
RUMAH SURABAYA BARAT Lakarsantri,Surabaya,Lakarsantri,120,135,990000000,255,Medium
Jangan beli rumah 2 lantai di medokan surabaya faktanya 200 jtan,Surabaya,Gunung Anyar,27,20,269000000,47,Small
DijualRumah 2 Lantai Grand Harvest Belvoir Surabaya,Surabaya,Kebraon,67,102,1350000000,169,Small
Dijual Rumah Nirwana Eksekutif,Surabaya,Rungkut,147,95,1525000000,242,Medium
Rumah Siwalankerto 200m dr frontage Ahmad yani,Surabaya,Siwalankerto,70,40,750000000,110,Small
Dijual Rumah Mulyosari Surabaya,Surabaya,Mulyorejo,160,190,1700000000,350,Large
Hunian Promo Akhir Tahun Diskon 100Jt,Surabaya,Gayungan,42,75,240000000,117,Small
DIJUAL RUMAH MINIMALIS MEWAH PAKUWON CITY Surabaya,Surabaya,Mulyorejo,620,450,15500000000,1070,Large
Rumah 2 LT Siap Huni Lokasi Istimewa Hoek pojokan antara BB IV dan BB VII,Surabaya,Baratajaya,230,252,2400000000,482,Large
BABATAN PRATAMA MINIMALIST HOOK FULL FURNISH,Surabaya,Wiyung,220,162,2788000000,382,Large
DIJUAL Rumah Buagus Siap Huni Tinggal Bawa Koper Graha Family,Surabaya,Graha,300,249,7300000000,549,Large
Dijual Rumah Special Sby Barat Minimalis Tropis Hook Furnished,Surabaya,Wiyung,210,272,4600000000,482,Large
rumah murah 2 lantai surabaya sidoarjo,Surabaya,,88,84,900000000,172,Small
Dijual Cepat Rumah Mewah Wisata Bukit Mas Harga Terjangkau Kondisi Siap Huni,Surabaya,Lakarsantri,300,200,2999999999,500,Large
RUMAH KAVLING MURAH  SURABAYA BARAT BENOWO,Surabaya,Benowo,55,55,240000000,110,Small
FOR SALE RUMAH GRAHA FAMILY,Surabaya,Dukuh Pakis,272,255,7500000000,527,Large
Rumah Baru 2 Lantai Berkualitas,Surabaya,Pakal,80,50,350000000,130,Small
DIJUAL TANAH DAN RUMAH DI MULYOREJO BONUS TOKO,Surabaya,Mulyorejo,120,432,5200000000,552,Medium
Rumah Baru Dekat SMAN 12 Surabaya,Surabaya,Sememi,36,45,290000000,81,Small
DIJUAL RUMAH BARU GRAND KUWUKAN SURABAYA BARAT BLOK B5,Surabaya,Lontar,70,71,800000000,141,Small
Dijual Cepat Rumah 2 Lt Cluster Taman Mutiara Pakuwon City,Surabaya,Pakuwon,135,112,3150000000,247,Medium
Jual Rumah Baru Gress  Graha Natura,Surabaya,,149,144,2900000000,293,Medium
RUMAH CITRALAND BGI FULLY FURNISHED,Surabaya,Citraland,750,603,21500000000,1353,Large
Dijual Rumah 2 Lt Cluster Zimbali Kosta Pakuwon City,Surabaya,Pakuwon,84,72,2100000000,156,Small
RUMAH CITRALAND RAYA FULLERTON PLACE FULLY FURNISHED,Surabaya,Citraland,600,450,16000000000,1050,Large
rumah mewah Surabaya dijual Murah Di perumahan masjid agung residence,Surabaya,Menanggal,285,173,4500000000,458,Large
Dijual Rumah Satelit Surabaya,Surabaya,,815,700,15000000000,1515,Large
Dijual  DISEWAKAN RUMAH Villa Valencia Pakuwon,Surabaya,Pakuwon,250,300,5500000000,550,Large
